ID,Experiencia (años),Rendimiento personal,Soft skills,Carga de trabajo,Habilidades técnicas
1,6,0.94,9.67,0.54,"{'api': 4.8, 'Hugging Face': 0.6, 'monitoring': 9.42, 'MLflow': 5.99, 'Isolation Forest': 2.4, 'SQL': 5.82, 'redux': 5.02, 'selenium': 6.25, 'EfficientNet': 8.28, 'python': 5.92}"
2,4,7.91,9.08,6.99,"{'YOLO': 6.89, 'ruby': 1.63, 'mongodb': 9.02, 'OWASP': 1.86, 'BorutaPy': 7.7, 'testing library': 3.53, 'ember.js': 3.74, 'bash': 7.21, 'aria': 3.8, 'Praat': 6.11}"
3,17,2.09,9.85,7.89,"{'Matrix Factorization': 4.94, 'scikit-learn': 9.91, 'MLflow': 9.99, 'Linear Regression': 7.39, 'asciidoc': 4.27, 'MediaPipe': 3.23, 'DenseNet': 6.84, 'Rasa': 8.24, 'LDA': 0.08, 'Apache Flink': 4.36}"
4,7,4.43,9.34,6.94,"{'selenium': 2.73, 'PCA': 4.77, 'R': 3.07, 'LightGBM': 8.65, 'agile': 7.47, 'PyCaret': 3.79, 'trello': 0.19, 'heroku': 7.32, 'Kubeflow': 9.45, 'jira': 7.08}"
5,1,3.6,3.94,8.23,"{'puppet': 3.43, 'Logistic Regression': 0.2, 'webpack': 7.91, 'git': 4.14, 'vue': 2.87, 'asciidoc': 7.87, 'MediaPipe': 9.69, 'server configuration': 2.39, 'CRNN': 8.46, 'ALS': 1.87}"
6,7,9.9,7.95,9.7,"{'JUnit': 6.89, 'TensorFlow-GAN': 8.29, 'javascript': 2.83, 'JWT': 0.88, 'BorutaPy': 2.72, 'apache spark': 4.86, 'ALS': 9.5, 'DeepSpeech': 4.92, 'Pandas': 8.35, 'jenkins': 8.26}"
7,19,0.72,7.78,7.19,"{'Apache Spark': 0.59, 'YOLOv5': 9.99, 'RNN': 6.7, 'microsoft project': 7.55, 'UserTesting': 0.91, 'scikit-multilearn': 2.89, 'Slack': 5.41, 'MobileNet': 5.86, 'heroku': 3.49, 'vue': 7.87}"
8,12,5.36,5.54,9.01,"{'Doc2Vec': 9.58, 'vue': 6.72, 'materialize': 9.5, 'Adobe XD': 4.76, 'testing library': 4.94, 'Rasa': 8.03, 'ansible': 7.06, 'docker': 4.82, 'continuous integration': 2.07, 'microsoft project': 7.98}"
9,0,0.4,5.22,4.22,"{'Python': 1.43, 'ci/cd': 7.79, 'testing library': 2.36, 'user-friendly': 3.77, 'GPT-3': 7.74, 'user manuals': 2.53, 'cassandra': 9.22, 'Apache Flink': 2.52, 'git': 2.78, 'XGBoost': 4.15}"
10,16,3.27,8.4,9.54,"{'Tesseract': 3.17, 'MediaPipe': 5.0, 'markdown': 2.34, 'c': 2.88, 'JWT': 2.35, 'DenseNet': 6.9, 'jenkins': 7.8, 'Jenkins': 4.44, 'Adobe XD': 7.1, 'react': 7.08}"
11,1,8.83,6.19,0.53,"{'kotlin': 0.35, 'html': 4.4, 'mongodb': 8.94, 'react': 9.94, 'Labelbox': 8.52, 'DALL-E': 6.59, 'jquery': 9.34, 'mysql': 0.87, 'redis': 2.58, 'Hugging Face': 0.13}"
12,16,1.51,2.88,5.54,"{'RandomForest': 0.39, 'html': 6.35, 'Rasa': 7.76, 'tensorflow': 9.96, 'MySQL': 3.72, 'chai': 2.45, 'PostgreSQL': 9.23, 'monitoring': 2.26, 'MediaPipe': 8.68, 'database': 2.04}"
13,8,3.32,6.71,7.15,"{'chai': 6.99, 'Optuna': 6.91, 'Figma': 0.99, 'typescript': 4.44, 'Apache Spark': 1.39, 'selenium': 0.32, 'webpack': 5.32, 'DeepRecSys': 7.7, 'FeatureTools': 7.31, 'trello': 4.2}"
14,17,0.51,7.01,1.68,"{'YOLOv4': 4.31, 'Carla': 7.77, 'junit': 4.39, 'api documentation': 5.42, 'PyCaret': 0.8, 'Labelbox': 1.66, 'html': 5.38, 'mongodb': 1.39, 'terraform': 9.82, 'trello': 2.75}"
15,13,4.44,1.26,5.15,"{'user-friendly': 9.83, 'FastText': 7.96, 'Proximal Policy Optimization': 3.91, 'Zero-shot BERT': 2.3, 'webpack': 4.85, 'Wave-U-Net': 5.54, 'user manuals': 9.61, 'ADTK': 5.22, 'redis': 3.86, 'Cleverhans': 3.0}"
16,17,3.81,0.51,2.71,"{'docker': 0.61, 'BM25': 6.33, 'Optuna': 5.5, 'R': 9.03, 'OpenCV': 8.84, 'FastText': 0.61, 'aria': 5.4, 'collaboration tools': 8.45, 'YOLO': 7.51, 'Faster R-CNN': 5.43}"
17,16,2.28,7.04,7.52,"{'mocha': 1.53, 'Linear Regression': 5.64, 'gsap': 3.9, 'Labelbox': 4.14, 'markdown': 8.36, 'CNN': 3.96, 'microsoft project': 3.0, 'Carla': 7.41, 'XGBoost': 2.97, 'vue': 1.45}"
18,19,0.13,0.74,1.37,"{'scikit-learn': 7.4, 'readthedocs': 1.91, 'pytest': 4.14, 'CRNN': 7.41, 'DeOldify': 3.09, 'AWS': 1.51, 'Supervisely': 5.97, 'mongoDB': 0.87, 'IsolationForest': 6.19, 'Dialogflow': 7.76}"
19,19,3.4,4.36,0.98,"{'StyleGAN': 0.44, 'Carla': 1.05, 'Polyglot': 0.36, 'bootstrap': 6.58, 'aws': 5.71, 'api': 1.98, 'mongodb': 2.94, 'FeatureTools': 3.28, 'ember.js': 8.56, 'kanban': 8.89}"
20,15,2.08,5.7,0.69,"{'Augmentor': 5.43, 'trello': 2.41, 'H2O.ai': 3.97, 'Adobe XD': 7.54, 'Recurrent Neural Networks (RNN)': 3.4, 'nltk': 6.27, 'mongoDB': 4.52, 'FeatureTools': 4.09, 'postgresql': 4.21, 'load balancing': 0.33}"
21,14,9.75,6.33,8.0,"{'technical writing': 1.33, 'nltk': 3.86, 'Matrix Factorization': 0.19, 'tensorflow': 9.52, 'google cloud': 2.61, 'kanban': 6.56, 'bash': 8.9, 'jwt': 4.12, 'chai': 0.69, 'css': 3.98}"
22,7,0.55,6.75,5.35,"{'trello': 8.98, 'flask': 1.21, 'user-friendly': 7.36, 'docker': 3.84, 'python': 7.46, 'tensorflow': 7.23, 'postgresql': 8.8, 'NLTK': 4.72, 'typescript': 7.56, 'nltk': 8.99}"
23,12,5.52,8.24,5.24,"{'SV2TTS': 9.73, 'H2O.ai': 6.1, 'c': 6.21, 'JMeter': 2.32, 'TextBlob': 3.98, 'MLflow': 2.66, 'elasticsearch': 2.37, 'scikit-learn': 0.62, 'Stable Baselines': 3.01, 'PostgreSQL': 6.84}"
24,9,9.73,6.04,8.56,"{'Tesseract': 6.72, 'mocha': 7.99, 'technical writing': 4.26, 'prometheus': 1.71, 'agile': 3.93, 'puppet': 3.42, 'YOLO': 7.84, 'heroku': 2.47, 'MobileNet': 3.01, 'Tableau': 3.63}"
25,13,2.07,1.61,2.19,"{'google cloud': 1.53, 'load balancing': 8.61, 'Stable Baselines': 5.22, 'StyleGAN': 5.27, 'scala': 4.99, 'Supervisely': 4.62, 'scikit-learn': 0.87, 'Elasticsearch': 2.7, 'FER (Facial Expression Recognition)': 3.26, 'server configuration': 4.16}"
26,17,7.09,8.21,4.21,"{'PCA': 4.73, 'Carla': 4.2, 'Docker': 7.51, 'heroku': 4.08, 'AWS': 3.11, 'PyCaret': 3.18, 'sphinx': 9.73, 'Hugging Face': 1.98, 'ruby': 1.46, 'CRNN': 6.23}"
27,16,1.24,7.67,8.9,"{'Kubernetes': 2.76, 'react': 3.47, 'user-friendly': 9.36, 'MLflow': 0.41, 'BorutaPy': 3.16, 'mocha': 6.3, 'PCA': 0.04, 'materialize': 5.19, 'confluence': 7.67, 'angular': 1.7}"
28,17,0.86,5.54,9.35,"{'firebase': 1.0, 'java': 7.32, 'C++': 4.84, 'puppet': 0.6, 'Xception': 6.59, 'kanban': 2.2, 'AWS': 3.03, 'DeOldify': 3.55, 'elasticsearch': 4.91, 'technical writing': 5.32}"
29,12,3.49,9.5,3.05,"{'git': 6.59, 'NeuralStyle': 5.69, 'elasticsearch': 1.68, 'c': 1.18, 'YOLOv5': 5.05, 'TensorFlow-GAN': 6.38, 'scikit-learn': 8.76, 'DeOldify': 8.66, 'mocha': 0.48, 'GPT-3': 5.59}"
30,12,0.1,5.69,7.45,"{'Sketch': 0.47, 'git': 7.37, 'ALS': 3.92, 'Matrix Factorization': 6.04, 'pytorch': 0.35, 'MediaPipe': 8.31, 'Praat': 8.16, 'Cleverhans': 0.26, 'html': 9.42, 'rust': 4.91}"
31,0,9.17,9.87,3.52,"{'RandomForest': 3.34, 'Linear Regression': 9.57, 'GPT-2': 8.01, 'mysql': 9.08, 'Elasticsearch': 7.8, 'django': 1.2, 'ESRGAN': 5.51, 'sphinx': 0.03, 'redis': 8.81, 'Isolation Forest': 0.63}"
32,12,4.52,8.88,5.38,"{'GitLab': 5.0, 'JIRA': 3.03, 'kanban': 6.6, 'Logistic Regression': 5.53, 'junit': 4.76, 'sql': 5.8, 'LIWC': 6.69, 'PyCaret': 9.66, 'testing library': 3.15, 'ESRGAN': 0.27}"
33,4,2.56,5.26,9.53,"{'BorutaPy': 6.68, 'technical writing': 7.34, 'spaCy': 0.84, 'PyTorch': 2.55, 'sass': 5.24, 'Apache Spark': 6.86, 'UX': 0.52, 'Tacotron': 5.63, 'postgresql': 7.63, 'MediaPipe': 1.27}"
34,0,3.51,8.99,1.62,"{'SORT': 1.14, 'Augmentor': 5.6, 'BERT': 8.09, 'ember.js': 7.6, 'Elasticsearch': 8.39, 'Tacotron': 0.63, 'markdown': 2.78, 'trello': 3.76, 'django': 4.91, 'GPT-2': 8.5}"
35,18,3.7,8.95,6.94,"{'BERT': 9.07, 'apache spark': 6.27, 'RAKE': 2.33, 'cassandra': 4.11, 'sass': 7.58, 'DeepSpeech': 3.53, 'RiskMatrix': 7.1, 'Dialogflow': 1.43, 'LSTM': 0.11, 'OpenKE': 9.25}"
36,2,8.76,9.18,9.88,"{'aria': 2.17, 'TensorFlow Lite': 7.26, 'Trello': 4.78, 'chai': 0.93, 'UserTesting': 6.49, 'confluence': 1.7, 'angular': 2.76, 'JIRA': 0.39, 'asciidoc': 8.52, 'rust': 2.97}"
37,0,8.16,2.85,1.6,"{'react': 2.2, 'UX': 7.3, 'ember.js': 3.71, 'Elasticsearch': 0.61, 'apache spark': 1.9, 'flask': 4.35, 'RandomForest': 6.77, 'CatBoost': 9.41, 'Tesseract': 6.98, 'gsap': 0.19}"
38,17,0.21,4.36,3.97,"{'Jenkins': 0.74, 'server configuration': 7.88, 'CatBoost': 0.85, 'RAKE': 7.4, 'GPT-2 Fine-Tuning': 3.08, 'NetworkX': 7.29, 'vue': 7.96, 'mocha': 8.08, 'Elasticsearch': 4.98, 'RNN': 5.26}"
